18530,0.998047,0.011718,-0.005326,-0.013848
0.239380,-0.234619,0.959839,0.230097,-0.084156,-0.011718
0.231445,-0.204346,0.971924,0.250337,-0.084156,-0.022371
0.236084,-0.198486,0.975952,0.255664,-0.087352,-0.014914
0.238770,-0.171997,0.974243,0.234358,-0.080960,-0.010653
0.244995,-0.160400,0.977539,0.139550,-0.060720,-0.014914
0.254639,-0.161499,0.968384,0.090548,-0.035154,-0.006392
0.256348,-0.160156,0.968140,0.056459,-0.012783,-0.013848
0.256226,-0.163818,0.968628,0.014914,0.003196,-0.006392
0.256836,-0.188721,0.971680,0.008522,0.010653,-0.002131
0.250122,-0.188110,0.969849,0.021305,0.011718,-0.011718
0.250244,-0.175903,0.967529,0.013848,0.014914,-0.021305
0.248657,-0.166626,0.969116,-0.019175,0.025566,-0.024501
0.248291,-0.168457,0.972778,-0.047937,0.044741,-0.015979
0.248779,-0.170044,0.974243,-0.071373,0.068177,-0.006392
0.245605,-0.187134,0.964600,-0.104396,0.077764,-0.002131
0.246094,-0.200562,0.956421,-0.086286,0.068177,-0.005326
0.246826,-0.222046,0.952881,-0.034088,0.045806,-0.006392
0.237549,-0.218994,0.955688,0.020240,0.025566,-0.021305
0.243530,-0.207153,0.958008,0.051133,0.008522,-0.027697
0.245483,-0.186279,0.964600,0.046872,0.008522,-0.030893
0.246094,-0.179443,0.969849,0.028762,0.019175,-0.024501
0.244873,-0.182007,0.971680,0.011718,0.026632,-0.021305
0.246582,-0.188599,0.965942,-0.004261,0.027697,-0.026632
0.242065,-0.191162,0.962646,-0.015979,0.024501,-0.035154
0.236084,-0.188232,0.965454,-0.010653,0.019175,-0.037284
0.239258,-0.183228,0.968384,-0.005326,0.009587,-0.035154
0.244995,-0.184692,0.972778,-0.002131,0.007457,-0.034088
0.243164,-0.186523,0.972778,-0.003196,0.012783,-0.030893
0.243164,-0.189087,0.972046,-0.002131,0.020240,-0.024501
0.239014,-0.190796,0.968750,-0.001065,0.023436,-0.024501
0.236450,-0.194946,0.961792,0.008522,0.019175,-0.026632
