ax,ay,az,gx,gy,gz
-1.047485,-0.004517,0.104736,0.047937,-0.104396,-0.404801
-1.044189,0.014771,0.098755,0.256729,-0.141680,-0.464455
-1.068970,0.025879,0.115356,0.404801,-0.155529,-0.508131
-1.113647,0.073975,0.162476,0.459129,-0.118244,-0.563525
-1.146973,0.104126,0.208618,0.444215,-0.057524,-0.576308
-1.133545,0.067383,0.216553,0.575243,-0.056459,-0.516653
-1.067261,0.000122,0.183472,0.813862,-0.115049,-0.523045
-1.140991,0.045166,0.157593,0.952347,-0.192813,-0.604005
-1.244019,0.098389,0.137085,0.982174,-0.315318,-0.623180
-1.281616,0.112183,0.109131,0.957673,-0.422910,-0.597614
-1.258423,0.109497,0.118896,0.913997,-0.430367,-0.583765
-1.194214,0.094849,0.162109,0.965130,-0.324906,-0.556068
-1.067261,0.107422,0.199463,1.076983,-0.166181,-0.497479
-0.913208,0.119385,0.215576,1.160073,-0.054329,-0.412258
-0.783081,0.131470,0.203003,1.215467,-0.041545,-0.288687
-0.710205,0.156250,0.188721,1.171791,-0.080960,-0.255664
-0.739868,0.152344,0.187134,1.134507,-0.154463,-0.233293
-0.770874,0.150146,0.149902,1.100419,-0.266316,-0.196009
-0.791748,0.149902,0.118042,1.047155,-0.370712,-0.165116
-0.823853,0.142944,0.110962,1.025850,-0.432498,-0.144876
-0.858887,0.136963,0.109009,1.047155,-0.399474,-0.131028
-0.915894,0.134033,0.116821,1.106810,-0.278034,-0.117179
-0.969482,0.140991,0.132324,1.146225,-0.127832,-0.101200
-0.966675,0.132080,0.138550,1.140899,-0.019175,0.020240
-0.964233,0.097290,0.213013,1.185640,-0.103331,0.165116
-0.903809,0.098389,0.291138,1.325189,-0.223706,0.276969
-0.824585,0.112061,0.360962,1.438108,-0.256729,0.317449
-0.764282,0.088379,0.411621,1.479653,-0.229032,0.301470
-0.742310,0.072021,0.427246,1.461543,-0.171508,0.284426
-0.721680,0.071899,0.402100,1.389105,-0.113983,0.256729
-0.717041,0.069214,0.371826,1.306015,-0.047937,0.197074
-0.738525,0.066040,0.344971,1.283644,0.031958,0.091613
-0.758545,0.089722,0.311035,1.270861,0.116114,-0.046872
-0.776245,0.107788,0.275879,1.196293,0.253533,-0.256729
-0.826782,0.107422,0.252197,1.140899,0.344081,-0.404801
-0.875122,0.095947,0.247437,1.136638,0.404801,-0.557134
-0.935425,0.102905,0.215576,1.164335,0.420780,-0.708401
-1.023560,0.105591,0.192749,1.266600,0.401605,-0.817058
-1.096069,0.159302,0.160767,1.334777,0.343015,-0.907606
-1.153931,0.216553,0.116699,1.303884,0.248207,-0.928911
-1.245239,0.238647,0.073608,1.198423,0.199205,-0.906540
-1.472168,0.268188,0.136841,0.961934,0.242880,-0.943825
-1.636230,0.358765,0.223267,0.720119,0.308927,-0.804275
-1.508301,0.394897,0.223267,0.744620,0.311057,-0.485761
-1.125610,0.387085,0.177002,0.737163,0.253533,-0.272708
-0.948730,0.372681,0.188477,0.625310,0.242880,-0.039415
-0.906494,0.336548,0.241577,0.501740,0.286556,0.256729
-0.945068,0.235962,0.313232,0.643420,0.287622,0.439954
-1.027222,0.188599,0.325806,1.025850,0.203466,0.552872
-1.083984,0.200317,0.264648,1.302819,-0.003196,0.625310
-1.060547,0.232056,0.167114,1.365670,-0.252468,0.732902
-1.058960,0.250366,0.084595,1.238903,-0.503870,0.853277
-1.106323,0.256226,0.026733,0.790427,-0.913997,1.013067
-1.201050,0.204712,-0.020264,0.499609,-1.160073,1.155812
-1.182495,0.152710,-0.022095,0.281230,-1.264469,1.275122
-1.160278,0.073975,0.023560,0.262055,-1.078048,1.334777
-1.140869,0.029785,0.028687,0.364321,-0.780839,1.342234
-1.056152,0.027100,0.025635,0.458064,-0.468717,1.336907
-0.975952,0.013306,0.025269,0.573112,-0.211988,1.287905
-0.919556,0.035156,0.036743,0.626376,-0.046872,1.186705
-0.870728,0.076538,0.071777,0.540089,0.035154,1.079113
-0.845825,0.091309,0.081909,0.393083,0.024501,0.936368
-0.828247,0.089233,0.064087,0.156594,-0.122505,0.858603
-0.786865,0.057129,0.055054,0.052198,-0.257794,0.770186
-0.757324,0.029663,0.048096,0.010653,-0.374973,0.666856
-0.740723,-0.004517,0.036499,0.030893,-0.449542,0.532632
-0.740356,-0.033936,0.023804,0.108657,-0.470847,0.341950
-0.753418,-0.042114,0.010986,0.224771,-0.445281,0.094809
-0.792725,-0.030273,0.033936,0.325971,-0.346211,-0.233293
-0.884399,-0.014526,0.085327,0.435693,-0.190682,-0.588026
-0.995728,-0.004395,0.092041,0.582700,-0.089482,-0.920389
-1.089478,0.006592,0.070068,0.842625,-0.162986,-1.366735
-1.187744,0.029785,0.024780,1.049286,-0.320645,-1.584049
-1.222290,0.063843,-0.008179,1.266600,-0.487891,-1.721468
-1.312988,0.084839,-0.050293,1.457282,-0.606136,-1.849300
-1.499023,0.138428,-0.033936,1.579788,-0.619984,-1.973936
-1.621582,0.212524,0.015625,1.628790,-0.515588,-1.966479
-1.576416,0.261108,0.073120,1.618137,-0.320645,-1.843974
-1.416260,0.318604,0.121094,1.502023,-0.074569,-1.668205
-1.267090,0.353882,0.162964,1.255947,0.105461,-1.394432
-1.099609,0.323364,0.171631,1.032242,0.148072,-0.860734
-0.937134,0.268677,0.093994,0.935303,0.020240,-0.665791
-0.876221,0.240967,0.061646,0.860734,-0.154463,-0.618919
-0.898682,0.219971,0.064209,0.817058,-0.355798,-0.544350
-0.910400,0.170288,0.073364,0.813862,-0.542220,-0.442085
-0.902710,0.108032,0.072632,0.901214,-0.646616,-0.373908
-0.879395,0.062134,0.052612,1.107875,-0.673247,-0.364321
-0.832642,0.043091,0.027710,1.378453,-0.624245,-0.405866
-0.818115,0.041870,0.018921,1.669270,-0.514523,-0.506001
-0.854858,0.066772,0.007568,1.957957,-0.402670,-0.607201
-0.845703,0.115479,-0.001343,2.227469,-0.287622,-0.641289
-0.828735,0.158691,0.003784,2.311625,-0.241815,-0.616788
-0.809937,0.189209,0.042603,2.333995,-0.143811,-0.548611
-0.814331,0.221924,0.009888,2.319082,-0.059655,-0.472978
-0.799805,0.264771,-0.015869,2.119877,0.037284,-0.409062
-0.805420,0.299072,0.036377,1.720403,0.218379,-0.336624
-0.863892,0.306519,0.093628,1.318798,0.390952,-0.297209
-0.925171,0.329346,0.138672,0.904410,0.520915,-0.303600
-0.946655,0.323730,0.208374,0.521980,0.596548,-0.270577
-0.917114,0.282227,0.281738,0.250337,0.629572,-0.180030
-0.869873,0.156860,0.337646,0.106526,0.640224,-0.150202
-0.866089,0.121460,0.337646,0.173638,0.629572,-0.148072
-0.898804,0.089355,0.353882,0.283360,0.599744,-0.202400
-0.929321,0.095337,0.362183,0.388822,0.541155,-0.279099
-0.975586,0.120850,0.376831,0.425041,0.491087,-0.358994
-1.040405,0.140259,0.393188,0.467651,0.387756,-0.414388
-1.052124,0.169922,0.353760,0.484696,0.279099,-0.445281
-1.053223,0.182739,0.304077,0.464455,0.178964,-0.427171
-1.077881,0.178345,0.266968,0.413323,0.067112,-0.374973
-1.104736,0.187988,0.240601,0.514523,-0.026632,-0.222640
-1.239136,0.222412,0.261719,0.657268,-0.077764,-0.144876
-1.298462,0.268433,0.269531,0.807471,-0.067112,-0.076699
-1.300415,0.331543,0.265137,0.817058,0.008522,-0.019175
-1.276123,0.389282,0.239380,0.615723,0.109722,0.076699
-1.271118,0.427246,0.221436,0.274838,0.158724,0.155529
-1.212524,0.439575,0.231934,-0.123571,0.166181,0.349407
-1.096191,0.340698,0.227417,-0.397344,0.107592,0.653007
-0.972900,0.257324,0.196533,-0.499609,0.019175,0.918258
-0.936035,0.144653,0.173218,-0.511327,-0.138484,1.079113
-0.956177,0.122559,0.105347,-0.327036,-0.369647,1.401889
-1.028320,0.049927,0.064331,-0.184291,-0.550742,1.495632
-1.080078,0.038452,0.060181,-0.025566,-0.622115,1.447695
-1.140747,0.040527,0.038086,0.100135,-0.500674,1.433846
-1.113281,0.018433,-0.011719,0.127832,-0.334493,1.441303
-1.083130,0.001587,-0.068115,0.063916,-0.207727,1.321994
-1.058716,0.015381,-0.102905,0.012783,-0.112918,1.205880
-1.092896,0.031250,-0.095581,-0.024501,-0.083091,1.095092
-1.140015,0.023315,-0.074829,-0.050067,-0.175769,0.956608
-1.098877,0.007690,-0.066895,-0.054329,-0.374973,0.884170
-0.987183,-0.020752,-0.075195,0.034088,-0.477239,0.851147
-0.922974,0.001343,-0.047363,0.104396,-0.550742,0.752077
-0.902588,0.041992,-0.000122,0.095874,-0.594418,0.613593
-0.901978,0.068726,0.023193,0.046872,-0.607201,0.502805
