7,0.293213,0.001065,-0.029827,0.035154
-0.509155,0.383789,0.728638,0.199205,-0.082025,-0.012783
-0.489502,0.399658,0.765625,0.103331,-0.082025,0.005326
-0.482422,0.391846,0.780273,-0.013848,-0.071373,0.026632
-0.492065,0.363892,0.787842,-0.007457,-0.059655,0.046872
-0.498901,0.384277,0.802368,0.031958,-0.053263,0.066046
-0.493164,0.394775,0.802490,0.044741,-0.055394,0.067112
-0.507324,0.401367,0.793823,0.036219,-0.054329,0.067112
-0.458252,0.409546,0.788208,-0.028762,-0.028762,0.061785
-0.452393,0.407837,0.801392,-0.199205,0.002131,0.068177
-0.474609,0.410645,0.863892,-0.443150,-0.258859,0.110788
-0.497559,0.334106,0.907104,-0.491087,-0.042611,0.161920
-0.491211,0.234497,0.938721,-0.132093,-0.049002,0.287622
-0.453857,0.252197,0.945435,0.115049,-0.077764,0.395213
-0.458496,0.329346,0.972168,-0.027697,-0.153398,0.354733
-0.481689,0.342407,0.937622,-0.246076,-0.253533,0.231162
-0.432861,0.317871,0.838135,-0.269512,-0.313188,0.185356
-0.343262,0.286499,0.772217,0.011718,-0.292948,0.135289
-0.337158,0.319214,0.769409,0.307862,-0.268447,0.131028
-0.364014,0.387573,0.790894,0.318514,-0.247141,0.176834
-0.296509,0.356934,0.798340,0.334493,-0.223706,0.035154
-0.307617,0.354126,0.754028,0.383495,-0.178964,0.003196
-0.336182,0.376709,0.719971,0.306796,-0.118244,0.005326
-0.339600,0.372681,0.662109,0.173638,-0.066046,-0.080960
-0.360107,0.366577,0.618774,0.046872,-0.012783,-0.053263
-0.390991,0.346313,0.608521,-0.021305,0.026632,-0.050067
-0.478394,0.336304,0.599487,-0.042611,0.012783,-0.062851
-0.548950,0.309326,0.579834,0.068177,-0.020240,-0.096939
-0.583618,0.277344,0.560425,0.483630,-0.023436,-0.140615
-0.583130,0.278687,0.627075,1.031176,0.011718,-0.074569
-0.537354,0.321777,0.718872,1.351821,0.122505,-0.060720
-0.407471,0.416016,0.798828,1.309211,0.250337,-0.022371
-0.397095,0.623291,0.926025,0.903345,0.337689,0.035154
